episode,reward
1,212.4796600341797
2,189.1717987060547
3,238.9403839111328
4,194.59991455078125
5,265.9098815917969
6,184.02186584472656
7,218.5968017578125
8,222.89277648925776
9,229.60040283203125
10,184.00636291503906
11,219.84796142578125
12,186.41165161132812
13,221.20507812500003
14,270.5149688720703
15,188.47413635253906
16,184.1057891845703
17,197.4253692626953
18,184.0027770996094
19,219.88746643066406
